"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","bc_bin"
"1430",-2.27248302821101,-0.595107566035269,-1.78321159389817,0.949096048303754,-2.85235160663387,-1.44690457338391,1.23835625363717,-0.176164694424803,6.9387707606461,"Robust"
"1461",-1.97697498062373,-0.800092690868007,-0.375879628774865,1.86765959925954,-2.72881522976215,-1.25693087062302,-1.58580520863314,-0.436075481547881,7.29291449157324,"Poor"
"1463",-0.603408152196536,1.05514862179266,0.70258991787586,-0.44533682921529,-5.76359257616076,-2.98853951196622,3.00682856247404,-1.83408862856469,6.87039859596095,"Poor"
"1476",-2.1433623645935,-0.707850571355125,-1.25160952894923,1.26301464158282,-2.80896387793813,-1.38063801818013,0.370480784199415,-0.281205854969205,6.94013479020309,"Poor"
"1501",1.34208585126407,-0.063242417345468,-0.305102174650759,2.64022121492619,-3.0553941974501,-2.16693650740932,-2.4862336556774,-2.45243510285676,6.54703698919954,"Poor"
"1507",1.32381972412151,0.201768565398024,-1.70547674932312,1.78918306606038,-3.2096745869393,-2.43486515304645,0.261382455502999,-2.36297054264187,6.13683322086782,"Robust"
"1513",-2.95869127818006,0.720280411702477,1.93511082932847,-2.28739128078367,-3.2476180283601,-3.98894078936589,3.55543280298869,0.515616892618922,5.75620044005116,"Poor"
"1527",1.52281764417688,0.866391740512342,-2.59447281421453,1.07106538248985,-2.67878790390947,-2.27561688577714,0.734860333973971,-2.10263120008365,5.45637370283175,"Average"
"1554",-0.990586187016485,1.55864073462184,4.17751484312853,-1.09104636091948,-0.920600359202704,-3.45097203621385,-4.07734723842317,0.214224079114476,4.58017252491085,"Average"
"1555",1.18938166223015,0.466106662232162,-0.511211326275332,-0.791097758924699,1.44083654039169,-6.45848783732118,1.21768757567503,-0.510686433550083,3.95747091554225,"Average"
"1556",1.55872669184332,0.34978281847809,-2.70401257749536,0.513195455594303,-0.628503630798045,-4.43852836727107,1.85282411570729,-1.51834812372548,5.01486361766694,"Average"
